iter	Passed	Remaining
0	1	1301
1	1	851
2	2	705
3	2	606
4	2	547
5	3	507
6	3	475
7	3	455
8	4	440
9	4	427
10	4	428
11	5	417
12	5	407
13	5	396
14	5	387
15	6	388
16	6	383
17	6	378
18	7	372
19	7	366
20	7	366
21	8	368
22	8	368
23	9	369
24	9	363
25	9	359
26	9	358
27	10	356
28	10	354
29	10	353
30	11	349
31	11	347
32	11	347
33	12	346
34	12	342
35	12	340
36	13	339
37	13	338
38	13	334
39	13	334
40	14	331
41	14	330
42	14	328
43	15	327
44	15	327
45	15	328
46	16	326
47	16	325
48	16	325
49	17	325
50	17	325
51	17	324
52	18	324
53	18	322
54	18	320
55	18	320
56	19	318
57	19	318
58	19	318
59	20	317
60	20	316
61	20	315
62	21	314
63	21	313
64	21	311
65	21	310
66	22	311
67	22	310
68	23	310
69	23	310
70	23	309
71	24	311
72	24	312
73	25	313
74	25	312
75	25	313
76	26	313
77	26	313
78	26	312
79	27	310
80	27	309
81	27	309
82	27	306
83	28	306
84	28	305
85	28	304
86	28	303
87	29	303
88	29	302
89	29	302
90	30	302
91	30	302
92	30	301
93	31	300
94	31	300
95	31	301
96	32	300
97	32	300
98	32	300
99	33	299
100	33	299
101	33	298
102	34	297
103	34	297
104	34	296
105	35	295
106	35	294
107	35	294
108	35	293
109	36	293
110	36	292
111	36	292
112	37	291
113	37	291
114	37	291
115	38	290
116	38	289
117	38	289
118	39	288
119	39	288
120	39	288
121	39	287
122	40	287
123	40	287
124	40	286
125	41	286
126	41	285
127	41	285
128	42	284
129	42	284
130	42	284
131	43	284
132	43	284
133	43	283
134	44	283
135	44	283
136	44	283
137	45	282
138	45	282
139	45	281
140	46	281
141	46	280
142	46	279
143	47	279
144	47	279
145	47	278
146	48	278
147	48	278
148	48	278
149	49	278
150	49	277
151	49	277
152	50	277
153	50	276
154	50	276
155	51	276
156	51	275
157	51	275
158	51	274
159	52	274
160	52	272
161	52	272
162	52	272
163	53	271
164	53	271
165	53	270
166	54	270
167	54	269
168	54	269
169	55	269
170	55	269
171	55	269
172	56	269
173	56	268
174	56	268
175	57	268
176	57	268
177	58	267
178	58	267
179	58	267
180	58	266
181	59	266
182	59	266
183	60	266
184	60	266
185	60	265
186	61	265
187	61	264
188	61	264
189	61	263
190	62	263
191	62	263
192	62	262
193	63	262
194	63	261
195	63	261
196	64	261
197	64	261
198	64	260
199	65	260
200	65	259
201	65	259
202	65	258
203	66	258
204	66	257
205	66	257
206	67	256
207	67	256
208	67	255
209	67	255
210	68	254
211	68	254
212	68	253
213	68	253
214	69	253
215	69	252
216	69	252
217	70	251
218	70	251
219	70	251
220	71	251
221	71	250
222	71	250
223	72	250
224	72	250
225	72	249
226	73	249
227	73	248
228	73	248
229	73	247
230	74	247
231	74	246
232	74	246
